region_name,category,subcategory,subsubcategory,mean price [€],min price [€],max price [€],A,B,C,D,E,nutri-score null percentage
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Crèmes dessert et petits pots de crème,2.24,0.82,5.2,0.0,7.6,90.2,2.1999999999999997,0.0,41.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Desserts patissiers et italiens,3.13,1.44,4.81,0.0,0.0,47.5,50.0,2.5,62.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Desserts végétaux,2.56,1.49,5.42,21.6,35.099999999999994,43.2,0.0,0.0,11.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,"Flans, crèmes et riz au lait",2.41,0.84,3.96,0.0,0.0,76.5,23.5,0.0,41.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Fruits et aromatisés,2.7,0.89,5.38,8.4,24.4,65.10000000000001,2.1,0.0,34.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Mousses et liégeois,2.3,0.99,6.76,0.0,0.0,73.3,25.0,1.7000000000000002,54.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Yaourt à boire,2.86,1.36,6.46,19.2,77.7,3.1,0.0,0.0,25.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Yaourts chèvre et brebis,2.85,1.6,7.6,12.7,25.4,61.9,0.0,0.0,11.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,Yaourts et desserts Enfants,2.68,1.33,4.89,0.0,69.8,30.2,0.0,0.0,36.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",Yaourts et desserts,"Yaourts natures, fromages blancs, skyrs et faisselles",2.68,0.71,7.31,49.5,32.4,17.599999999999998,0.5,0.0,28.999999999999996
Auvergne-Rhône-Alpes,Surgelés,"Apéritifs, entrées et snacks",Apéritifs,5.48,3.1,12.99,13.600000000000001,6.800000000000001,25.0,47.699999999999996,6.800000000000001,40.0
Auvergne-Rhône-Alpes,Surgelés,"Apéritifs, entrées et snacks","Entrées, coquilles, feuilletés, crêpes",5.47,1.25,12.4,0.0,20.0,40.0,16.0,24.0,61.0
Auvergne-Rhône-Alpes,Surgelés,"Apéritifs, entrées et snacks",Snacks et burgers,5.64,3.13,10.08,10.0,5.0,35.0,50.0,0.0,62.0
Auvergne-Rhône-Alpes,Surgelés,Frites et pommes de terre,Frites,3.46,1.24,7.2,87.8,12.2,0.0,0.0,0.0,12.0
Auvergne-Rhône-Alpes,Surgelés,Frites et pommes de terre,Pommes de terre surgelées,3.19,1.2,7.15,47.099999999999994,39.2,13.700000000000001,0.0,0.0,28.000000000000004
Auvergne-Rhône-Alpes,Surgelés,"Glaces, pâtisseries et viennoiseries","Desserts, pâtisseries et viennoiseries",5.89,1.65,11.99,0.0,2.1999999999999997,23.9,71.7,2.1999999999999997,48.0
Auvergne-Rhône-Alpes,Surgelés,"Glaces, pâtisseries et viennoiseries",Glaces,4.27,0.99,10.28,0.8,0.8,13.700000000000001,62.1,22.6,66.0
Auvergne-Rhône-Alpes,Surgelés,Légumes et fruits,Fruits natures et coulis,5.32,2.99,10.99,100.0,0.0,0.0,0.0,0.0,76.0
Auvergne-Rhône-Alpes,Surgelés,Légumes et fruits,Herbes et sauces,2.83,1.78,5.36,89.5,0.0,0.0,10.5,0.0,10.0
Auvergne-Rhône-Alpes,Surgelés,Légumes et fruits,Légumes,3.15,1.4,8.15,87.1,9.8,3.1,0.0,0.0,18.0
Auvergne-Rhône-Alpes,Surgelés,"Pizzas, quiches et tartes",Pizzas,4.99,2.69,10.99,4.9,51.2,41.5,2.4,0.0,59.0
Auvergne-Rhône-Alpes,Surgelés,"Pizzas, quiches et tartes",Quiches et tartes,5.11,2.99,13.15,0.0,0.0,66.7,33.300000000000004,0.0,49.0
Auvergne-Rhône-Alpes,Surgelés,Viandes et poissons,"Poissons, mollusques et crustacés",6.6,1.95,12.9,76.4,21.099999999999998,2.4,0.0,0.0,24.0
Auvergne-Rhône-Alpes,Surgelés,Viandes et poissons,Viandes,8.27,3.5,13.19,6.800000000000001,27.3,48.9,17.0,0.0,18.0
Auvergne-Rhône-Alpes,Traiteur,Entrées et apéritifs,Apéritifs,4.52,1.13,10.94,27.1,25.4,20.3,13.600000000000001,13.600000000000001,60.0
Auvergne-Rhône-Alpes,Traiteur,Entrées et apéritifs,Entrées chaudes,5.05,0.85,10.95,0.0,0.0,31.2,68.8,0.0,85.0
Auvergne-Rhône-Alpes,Traiteur,Entrées et apéritifs,Entrées froides,4.45,1.53,10.63,0.0,50.0,50.0,0.0,0.0,89.0
Auvergne-Rhône-Alpes,Traiteur,Plats cuisinés et accompagnements,A base de poisson,5.06,0.75,10.99,48.0,50.0,2.0,0.0,0.0,80.0
Auvergne-Rhône-Alpes,Traiteur,Plats cuisinés et accompagnements,A base de viande,5.31,2.21,10.99,24.0,46.0,28.000000000000004,2.0,0.0,60.0
Auvergne-Rhône-Alpes,Traiteur,Plats cuisinés et accompagnements,A base de volaille,5.31,1.5,10.99,33.300000000000004,58.3,8.3,0.0,0.0,27.0
Auvergne-Rhône-Alpes,Traiteur,Plats cuisinés et accompagnements,Accompagnements,4.54,0.7,10.99,0.0,30.8,53.800000000000004,15.4,0.0,86.0
Auvergne-Rhône-Alpes,Traiteur,Plats cuisinés et accompagnements,Box et snacks chauds,4.04,2.32,10.21,12.1,47.0,37.9,3.0,0.0,27.0
Auvergne-Rhône-Alpes,Traiteur,Plats cuisinés et accompagnements,Plats allégés,4.61,3.63,6.1,60.9,39.1,0.0,0.0,0.0,0.0
Auvergne-Rhône-Alpes,Traiteur,Plats cuisinés et accompagnements,Plats du monde,5.34,2.53,10.99,11.1,33.300000000000004,50.0,5.6000000000000005,0.0,50.0
