region_name,category,subcategory,subsubcategory,mean price [€],min price [€],max price [€],A,B,C,D,E,nutri-score null percentage
Normandie,Epicerie sucrée,Chocolats et confiseries,Confiseries de chocolat,4.23,1.0,8.99,0.0,0.0,0.0,0.058,0.942,0.78
Normandie,Epicerie sucrée,Chocolats et confiseries,Tablettes de chocolat,2.68,0.94,5.71,0.0,0.0,0.0,0.176,0.824,0.74
Normandie,Epicerie sucrée,"Gâteaux moelleux, crêpes et gaufres","Gaufres, gaufrettes et crêpes",2.33,0.99,4.27,0.0,0.0,0.083,0.25,0.667,0.59
Normandie,Epicerie sucrée,"Gâteaux moelleux, crêpes et gaufres","Madeleines, cakes et pâtisseries moelleuses",2.8,0.85,5.3,0.0,0.0,0.153,0.622,0.225,0.39
Normandie,Epicerie sucrée,Petit déjeuner,Biscottes et biscuits petit déjeuner,2.35,1.09,5.35,0.19,0.286,0.333,0.095,0.095,0.6
Normandie,Epicerie sucrée,Petit déjeuner,Brioches et pains au lait,3.16,1.42,6.99,0.0,0.128,0.436,0.436,0.0,0.19
Normandie,Epicerie sucrée,Petit déjeuner,"Confitures, miels et tartinables",3.55,1.1,8.54,0.064,0.0,0.382,0.527,0.027,0.48
Normandie,Epicerie sucrée,Petit déjeuner,Céréales et barres,3.28,1.16,7.36,0.198,0.144,0.432,0.216,0.009,0.21
Normandie,Epicerie sucrée,Petit déjeuner,Pains de mie et précuits,2.07,0.91,3.71,0.677,0.308,0.015,0.0,0.0,0.04
Normandie,Epicerie sucrée,Petit déjeuner,Viennoiseries,3.33,1.5,8.85,0.0,0.034,0.362,0.466,0.138,0.41
Normandie,Epicerie sucrée,Thés et boissons chocolatées,Chocolat en poudre et lait concentré,3.1,0.65,7.69,0.192,0.5,0.115,0.077,0.115,0.58
Normandie,Epicerie sucrée,Thés et boissons chocolatées,Thés et infusions,3.19,0.93,8.7,0.0,0.913,0.043,0.0,0.043,0.84
Normandie,Fruits et légumes,Fruits et légumes secs,Fruits secs et graines,4.15,0.8,8.1,0.5,0.0,0.0,0.5,0.0,0.98
Normandie,Fruits et légumes,Fruits et légumes secs,Légumes secs,2.79,1.2,5.49,1.0,0.0,0.0,0.0,0.0,0.52
Normandie,Fruits et légumes,Légumes frais,Légumes de saison,2.53,0.37,6.99,1.0,0.0,0.0,0.0,0.0,0.97
Normandie,Fruits et légumes,Légumes frais,"Oignons, ails, échalotes, herbes aromatiques",2.36,0.84,6.29,1.0,0.0,0.0,0.0,0.0,0.9
Normandie,Fruits et légumes,Prêt à consommer et fraîche découpe,Légumes prêts à l'emploi et purées,2.53,0.86,6.95,1.0,0.0,0.0,0.0,0.0,0.93
Normandie,Fruits et légumes,Prêt à consommer et fraîche découpe,Salades et crudités prêtes à consommer,2.53,1.04,6.7,0.671,0.0,0.286,0.043,0.0,0.12
Normandie,Fruits et légumes,Prêt à consommer et fraîche découpe,Soupes et purées fraîches,3.42,3.01,5.32,0.5,0.214,0.286,0.0,0.0,0.18
Normandie,"Pains, viennoiseries et pâtisseries",Pains,Pains de mie et précuits,2.07,0.91,3.71,0.677,0.308,0.015,0.0,0.0,0.04
Normandie,"Pains, viennoiseries et pâtisseries",Pains,"Pains sandwich, burger et wraps",2.33,1.15,4.16,0.407,0.407,0.136,0.051,0.0,0.05
Normandie,"Pains, viennoiseries et pâtisseries",Pains,Toast et canapé,2.15,1.11,3.34,0.0,0.6,0.0,0.4,0.0,0.5
Normandie,"Pains, viennoiseries et pâtisseries",Pâtisseries,Aide à la pâtisserie,3.94,2.24,5.99,0.0,0.0,0.0,0.5,0.5,0.6
